"Laius (mm)","Paksus (mm)","Dimensiooniühik","Nimi","Toote mall","Toote mall/Nimi","Laius (mm)","Pikkus (mm)","Paksus (mm)","Lukusta laius?","Lukusta pikkus?","Lukusta paksus?","ID","Pikkus (mm)"
"130.0","19.0","mm","Haab 19x130 SMM","Haab 19x130 SMM","Haab 19x130 SMM","0.0","0.0","0.0","","","","42384","3900.0"
"130.0","19.0","mm","Haab 19x130 SMM","Haab 19x130 SMM","Haab 19x130 SMM","0.0","0.0","0.0","","","","42385","500.0"
"130.0","19.0","mm","Haab 19x130 SMM","Haab 19x130 SMM","Haab 19x130 SMM","0.0","0.0","0.0","","","","42375","600.0"
"130.0","19.0","mm","Haab 19x130 SMM","Haab 19x130 SMM","Haab 19x130 SMM","0.0","0.0","0.0","","","","42386","700.0"
"130.0","19.0","mm","Haab 19x130 SMM","Haab 19x130 SMM","Haab 19x130 SMM","0.0","0.0","0.0","","","","42376","800.0"
"130.0","19.0","mm","Haab 19x130 SMM","Haab 19x130 SMM","Haab 19x130 SMM","0.0","0.0","0.0","","","","42387","900.0"
"130.0","19.0","mm","Haab 19x130 SMM","Haab 19x130 SMM","Haab 19x130 SMM","0.0","0.0","0.0","","","","42361","1000.0"
"130.0","19.0","mm","Haab 19x130 SMM","Haab 19x130 SMM","Haab 19x130 SMM","0.0","0.0","0.0","","","","42372","1100.0"
"130.0","19.0","mm","Haab 19x130 SMM","Haab 19x130 SMM","Haab 19x130 SMM","0.0","0.0","0.0","","","","42362","1200.0"
"130.0","19.0","mm","Haab 19x130 SMM","Haab 19x130 SMM","Haab 19x130 SMM","0.0","0.0","0.0","","","","42373","1300.0"
"130.0","19.0","mm","Haab 19x130 SMM","Haab 19x130 SMM","Haab 19x130 SMM","0.0","0.0","0.0","","","","42374","1400.0"
"130.0","19.0","mm","Haab 19x130 SMM","Haab 19x130 SMM","Haab 19x130 SMM","0.0","0.0","0.0","","","","42363","1500.0"
"130.0","19.0","mm","Haab 19x130 SMM","Haab 19x130 SMM","Haab 19x130 SMM","0.0","0.0","0.0","","","","42364","1600.0"
"130.0","19.0","mm","Haab 19x130 SMM","Haab 19x130 SMM","Haab 19x130 SMM","0.0","0.0","0.0","","","","42365","1700.0"
